0.366	0.605	0.435
0.353	0.585	0.427
0.351	0.509	0.384
0.451	0.552	0.354
0.423	0.794	0.481
0.402	0.588	0.485
0.386	0.698	0.458
0.467	0.626	0.419
0.477	0.612	0.402
0.424	0.536	0.362
0.448	0.633	0.42
0.37	0.609	0.466
0.427	0.532	0.395
0.359	0.534	0.399
0.372	0.573	0.477
0.364	0.633	0.481
0.404	0.677	0.514
0.395	0.656	0.482
0.402	0.738	0.49
0.479	0.774	0.519
0.444	0.653	0.543
0.451	0.629	0.51
